ID,독자(인물),술어(관계),저서(문헌),태도(점수),근거(문헌),판단내부저자(인물),작업자,추정상태,추정근거,근거 원문,비고
,김기림,cite,세잔,3,상아탑의 비극 7,,정성훈,suspended,"자연은 구체와 첨원형과 운통형으로 추구된다.고 한 세잔에게서 출발한 최근의 회화 사상 큰 에포크를 그은 입체파의 화가 피카소의 주위에 모였던 시인 아폴리네르, 콕토, 모랑 등의 입체시가 어떻게 과거의 시를 말살하기 위하여 광태에 가까운 악희를 감행했는가를 우리는 보았다.",,
,김기림,cite,"""꿈만이 사람에게 자유에의 모든 권리를 준다.""",4,상아탑의 비극 8,,정성훈,presumed,꿈만이 사람에게 자유에의 모든 권리를 준다.,,
,김기림,cite,"""꿈의 은택으로 죽음도 벌써 애매한 의미를 가지지 않게 되고 생의 의미도 냉담해진다.""",3,상아탑의 비극 8,,정성훈,presumed,꿈의 은택으로 죽음도 벌써 애매한 의미를 가지지 않게 되고 생의 의미도 냉담해진다.,,
,김기림,criticize,톨스토이,5,예술에 있어서의 『리얼리티』『모럴』 문제 2,,유건수,presumed,물론 『톨스토이』는 예외적 천재의 일면도 가젓지만 그의 작품의 매력은 전체로서의 작품의 매력은 아니고 그 안에 담겨 잇는 그의 인도주의라는 『모랄』 그것의 신미엿다고 생각한다.,,
,김기림,criticize,"야마우치 히데오(필명, 사토미 톤(里見 弴))",5,예술에 있어서의 『리얼리티』『모럴』 문제 2,,유건수,presumed,갓가운 일본에서는 사토미 톤 씨의 『마코코로』라고 하는 그의 독특한 『모랄』의 고정화 관념화로부터 오는 그의 예술의 순수를 우리는 경험하엿다.,,
,김기림,read,장 크리스토프,5,로맹 롤랑과 「장 크리스토프」,,전세진,Confirmed,나는 얼마나한 감격을 가지고 일과를 쉬어 가며 그의 「장 크리스토프」를 탐독했는지 모른다.,,
,김기림,read,『삼천리』 5월호,4,김동환론,,전세진,Confirmed,『삼천리』 5월호를 손에 들고 나는 처음에 나의 책상의 절반이나 거의 차지하는 그 전 달 호들의 배나 되는 넓은 면적에 놀랐다.,,
,김기림,read,『삼천리』,3,김동환론,,전세진,Presumed,일견 『삼천리』가 저급한 오락잡지의 일면을 간혹 가지면서도 필경 베이비 골프나 리뷰에 타락하는 것을 구원해 낸 것은 파인의 높은 지성이라고 믿는다.,,
,김기림,read,율리시스,2,현 문단의 부진과 그 전망,,전세진,suspended,여기에 가장 심각한 칵테일의 표본으로 제임스 조이스의 「율리시스」를 들 수 있다.,,
,김기림,read,"Ulysses, Order, and Myth",3,현 문단의 부진과 그 전망,,전세진,Confirmed,"그러나 엘리엇이 ""제군은 그것을 서사시라고 불러도 좋아""라고 한 것처럼 단순한 소설이 아니었다.",,
,김기림,read,오디세이,3,현 문단의 부진과 그 전망,,전세진,Presumed,"문학의 지평선에 돌연히 나타난 「율리시스」조차도 그 제목 자체가 표시하는 것처럼 가장 고전인 호머의 「오디세이」의 용의주도한 현대화라는 것을 생각할 때 역사는 되풀이한다는 옛 격언이 단순한 옛 격언이 아니며, 이 큰 작품이 새 문학의 출발점일지도 모른다.",,
